cod_prov;nom_prov;porcen_desp;pob_tot;pob_hom;pob_muj;asexos_tactividad;asexos_templeo;asexos_tparo;hombres_tactividad;hombres_templeo;hombres_tparo;mujeres_tactividad;mujeres_templeo;mujeres_tparo;ocupados_agricultura;ocupados_construccion;ocupados_industria;ocupados_servicios;ipc_alim;ipc_bebi;ipc_vest;ipc_vivi;ipc_hoga;ipc_sani;ipc_trans;ipc_comu;ipc_ocio;ipc_ense;ipc_resta;ipc_otros;pib_prec;pib_agri;pib_indu;pib_ind_manu;pib_constr;pib_comer;pib_act_fin;pib_admin;pib_valor_brut;pib_imp_netos;group;kmeans_group;dbscan_group;em_group
18;Granada;58;930181;457842;472339;58.41;46.53;20.32;63.96;53.1;17.0;53.07;40.23;24.19;5.52;7.75;8.7;78.03;126.68;111.86;104.8;102.55;111.92;102.69;113.27;101.99;106.52;104.62;113.46;107.29;17140505;1088230;1549956;713568;900062;3580557;3743645;4645227;15507677;1632828;4;1;0;0
19;Guadalajara;93;274598;139118;135480;64.51;58.12;9.9;68.85;62.85;8.71;60.06;53.28;11.29;1.8;6.62;13.7;77.88;127.9;112.49;108.32;104.36;112.01;107.4;113.43;101.6;107.51;105.37;114.0;108.68;5502747;219859;1389705;826448;256396;870770;1101430;1140388;4978548;524199;2;3;0;0
20;Gipuzkoa;48;728027;355363;372664;55.09;51.02;7.38;57.26;53.54;6.5;53.07;48.68;8.25;1.58;4.8;23.3;70.3;123.22;112.1;101.84;101.88;113.32;102.91;112.14;102.08;108.83;103.12;112.77;109.98;23839000;91933;5921660;5534807;1186543;4963137;4743611;4661181;21568065;2270935;2;3;0;0
21;Huelva;45;530824;263492;267332;56.6;46.21;18.38;61.27;51.48;15.97;52.12;41.14;21.14;13.3;6.12;9.85;70.73;126.84;112.08;104.4;100.18;112.5;104.07;113.27;102.03;107.48;104.35;113.02;107.86;10763135;887316;2134574;1000517;485002;1793457;2041220;2396255;9737824;1025311;4;1;0;0
22;Huesca;93;227077;114995;112082;57.16;52.42;8.28;62.99;58.58;6.99;51.23;46.18;9.88;12.52;7.15;18.68;61.62;125.88;111.11;106.26;105.47;111.84;101.99;112.86;102.2;106.81;106.57;113.78;106.54;6802388;972723;1105405;867271;442920;1275846;1055854;1301635;6154383;648005;2;3;0;0
23;Jaén;40;620242;306866;313376;52.09;42.54;18.31;59.39;49.86;15.99;44.95;35.37;21.26;12.55;6.82;13.3;67.32;124.52;114.5;104.14;100.03;109.81;104.28;113.62;102.08;106.22;104.44;112.91;108.35;11754569;1535182;1362513;1182833;596843;1900108;2144868;3095299;10634813;1119756;4;1;0;0
24;León;85;447463;217348;230115;50.56;45.38;10.26;54.69;50.2;8.19;46.69;40.84;12.54;4.3;6.57;13.55;75.62;126.51;111.67;113.56;108.24;112.23;104.35;113.02;101.64;105.54;102.4;115.48;107.76;10224642;487420;1524493;1016874;587871;2188755;2139793;2322297;9250629;974013;2;2;0;0
25;Lleida;83;446793;228115;218678;59.16;54.81;7.36;64.84;60.66;6.45;53.32;48.8;8.44;8.48;7.43;17.0;67.12;124.78;111.05;107.94;107.07;111.99;109.12;112.45;102.08;108.25;107.48;112.01;108.78;12558913;734891;1433652;1010745;641829;3416722;2360633;2774807;11362534;1196379;2;3;0;0
26;Rioja, La;87;322490;159142;163348;59.32;53.89;9.16;64.15;59.15;7.8;54.69;48.84;10.7;5.28;7.3;27.88;59.5;123.4;112.03;110.5;104.01;111.41;103.36;112.45;101.7;107.67;101.98;114.15;109.66;8619779;476624;1987268;1687784;438925;1560662;1579983;1755185;7798647;821132;2;3;0;0
27;Lugo;43;323956;157083;166873;52.5;48.07;8.43;54.78;50.52;7.76;50.38;45.79;9.11;14.18;6.62;11.85;67.35;124.94;111.82;104.39;105.48;113.48;102.88;112.93;101.5;109.24;100.8;114.36;109.72;7395362;647279;866820;475584;399301;1781960;1294058;1701452;6690870;704492;2;2;-1;0
28;Madrid;36;6859914;3279823;3580091;63.41;56.94;10.2;67.83;61.84;8.84;59.42;52.52;11.62;0.3;5.78;9.3;84.57;124.91;111.5;105.01;102.6;110.48;100.49;107.1;102.12;108.13;103.26;113.65;108.64;237540292;162499;23091420;13175614;9638924;68316587;68867253;44835198;214911881;22628411;1;4;-1;1
29;Málaga;44;1751600;855899;895701;58.22;48.5;16.69;62.65;53.87;14.02;54.07;43.47;19.6;2.28;7.6;5.55;84.58;126.19;111.98;102.81;99.85;114.37;102.49;113.9;102.21;105.79;104.92;117.58;108.48;30776021;741095;1399899;781474;2484676;7893378;8534746;6790462;27844256;2931765;4;0;0;1
30;Murcia;11;1552457;777668;774789;59.67;52.12;12.64;65.95;58.74;10.93;53.46;45.59;14.71;11.0;6.43;11.32;71.22;125.89;112.45;105.61;100.7;113.69;103.33;112.86;101.72;107.5;102.83;113.11;108.24;32719230;1555680;5608933;4275150;1705143;7516651;6215565;7000380;29602352;3116878;4;0;1;0
31;Navarra;77;671746;332086;339660;59.05;53.22;9.88;63.32;57.54;9.12;54.92;49.03;10.74;3.28;5.58;24.92;66.2;124.68;111.85;105.84;107.56;113.53;103.97;113.27;101.36;108.85;99.67;111.79;107.64;20518471;715214;5498025;4752883;1046069;3751217;3620392;3932937;18563854;1954617;2;3;0;0
32;Ourense;75;304550;146180;158370;48.79;44.05;9.72;51.01;46.23;9.4;46.74;42.04;10.06;4.55;6.82;13.9;74.7;126.36;111.2;103.53;104.9;112.24;104.98;111.89;101.82;105.18;100.66;114.59;108.2;7104228;382289;1392490;682035;426962;1483127;1188820;1553782;6427470;676758;2;2;0;0
33;Asturias;50;1005283;479064;526219;50.66;44.52;12.1;53.97;47.96;11.15;47.67;41.43;13.08;2.75;7.12;14.5;75.62;123.45;111.72;108.57;104.18;112.25;100.89;112.83;101.61;106.93;105.28;111.92;107.76;23549659;306301;4572369;3118701;1392272;4867794;5075288;5092263;21306287;2243372;2;2;0;0
34;Palencia;94;157752;78063;79689;55.27;50.79;8.13;61.64;57.78;6.27;49.13;44.02;10.38;6.75;6.52;21.58;65.2;124.94;111.27;103.66;105.91;111.74;101.78;113.17;101.58;103.29;100.67;112.24;108.84;4303764;348625;1089346;934598;195647;616051;727306;916807;3893782;409982;2;2;0;0
35;Palmas, Las;8;1140258;566072;574186;61.16;52.02;14.95;65.57;56.66;13.58;56.92;47.54;16.48;1.3;6.18;5.03;87.45;126.74;108.68;99.04;101.14;110.11;103.26;112.88;101.53;107.68;105.27;114.97;107.51;22056871;247736;1514492;719414;1273844;6618825;4935073;5365733;19955703;2101168;4;0;0;0
36;Pontevedra;7;944245;455309;488936;54.37;48.44;10.9;59.59;53.66;9.94;49.56;43.63;11.96;4.72;6.7;18.12;70.45;124.65;111.91;102.38;104.43;112.83;104.63;113.25;101.94;105.84;102.33;118.24;109.89;21988329;742360;4744084;4316195;1168637;4885776;4299973;4052861;19893691;2094638;4;2;1;0
37;Salamanca;95;327170;158669;168501;54.24;48.48;10.61;59.1;53.52;9.44;49.71;43.78;11.92;5.75;8.48;8.9;76.88;126.15;110.58;95.56;106.19;109.37;104.86;112.5;101.61;105.76;102.25;115.01;107.83;7289859;348499;851691;518924;410569;1557796;1470694;1956168;6595417;694442;2;2;0;0
38;Santa Cruz de Tenerife;11;1061790;520204;541586;58.18;48.26;17.07;63.21;53.95;14.68;53.38;42.82;19.79;3.28;6.18;5.03;85.5;127.3;108.31;96.9;102.35;112.39;103.27;113.39;102.08;106.41;104.25;114.51;110.11;20786249;483802;1209138;457525;1120681;5416038;4819924;5756540;18806123;1980126;4;1;0;0
39;Cantabria;52;588419;284880;303539;55.01;50.56;8.09;59.56;55.76;6.39;50.74;45.69;9.97;2.07;8.3;15.98;73.62;125.0;112.37;103.07;103.35;109.75;102.2;111.53;102.25;107.32;103.5;113.55;110.21;14022067;185011;2834352;2264179;824530;2693982;3078541;3069890;12686306;1335761;2;3;0;0
40;Segovia;94;155258;77773;77485;59.92;55.08;8.08;64.78;60.76;6.2;55.05;49.4;10.29;9.6;9.72;16.7;64.02;124.61;112.36;108.95;104.1;111.77;101.71;113.52;101.52;107.04;100.76;113.39;107.52;3460982;232663;368098;263149;243548;741167;697627;848181;3131284;329698;2;3;0;0
41;Sevilla;13;1957210;954887;1002323;58.28;48.58;16.64;62.55;53.72;14.11;54.28;43.76;19.37;4.35;5.82;9.8;79.95;125.88;112.31;103.55;99.49;111.8;103.42;112.23;101.47;106.86;104.38;114.9;107.94;40657710;2082124;5575536;3332648;2056824;8375772;8537199;10157146;36784601;3873109;4;0;-1;1
42;Soria;96;89482;45362;44120;57.37;52.76;8.1;60.59;57.38;5.35;54.02;47.96;11.27;9.6;7.9;24.52;58.0;123.65;109.99;104.98;107.98;109.09;101.78;113.34;102.08;107.06;103.55;110.9;107.76;2531565;226938;591689;472628;138512;427380;362182;543704;2290405;241160;2;3;0;0
43;Tarragona;66;847566;422935;424631;58.94;52.48;10.98;63.72;57.41;9.91;54.25;47.65;12.2;3.48;6.85;19.38;70.3;124.7;111.88;100.27;103.59;110.46;101.18;113.19;102.02;108.71;102.42;110.82;108.24;24421364;304144;6058988;4432889;1137251;4775156;5643875;4175538;22094952;2326412;2;3;0;0
44;Teruel;95;135237;68460;66777;57.19;51.8;9.44;59.71;55.28;7.45;54.59;48.21;11.7;9.15;7.0;18.77;65.02;125.46;110.84;107.11;106.21;110.55;102.18;113.67;101.72;107.91;103.1;109.98;107.27;3460089;240062;514273;290373;235976;688024;551729;900412;3130476;329613;2;3;0;0
45;Toledo;57;728496;366012;362484;60.44;52.31;13.44;66.67;60.07;9.9;54.15;44.48;17.82;3.85;9.95;16.2;70.03;126.92;112.31;105.64;106.82;114.03;103.06;111.95;102.36;105.89;104.25;116.04;109.69;13258842;728117;2569685;2074329;897664;2331401;2364247;3104673;11995787;1263055;2;3;0;0
46;Valencia/València;48;2656291;1298685;1357606;60.34;53.19;11.85;65.64;59.07;10.01;55.4;47.71;13.9;1.98;6.57;16.9;74.53;124.57;111.21;101.21;100.74;110.94;103.05;111.91;101.25;106.36;102.82;115.09;108.53;61410589;1216902;11624507;8488474;3179743;13611449;13769682;12158250;55560533;5850056;4;0;-1;1
47;Valladolid;88;521071;253443;267628;55.78;50.77;8.98;61.26;56.88;7.15;50.65;45.06;11.05;5.18;5.52;16.32;73.02;124.95;111.25;105.2;105.14;111.51;101.44;112.2;102.04;107.4;102.95;113.15;107.73;14293892;552661;3213771;2592996;656713;2448567;2781737;3278787;12932236;1361656;2;3;0;0
48;Bizkaia;52;1154306;557537;596769;57.37;52.86;7.88;62.58;58.12;7.13;52.58;48.02;8.7;0.52;5.75;16.15;77.55;124.09;111.38;108.4;102.24;113.12;102.93;110.87;101.8;107.56;104.18;112.42;109.04;35446900;70267;6216317;4877367;2531960;7637754;8394418;7219464;32070180;3376720;2;3;0;0
49;Zamora;98;166366;82418;83948;51.49;44.57;13.42;57.33;50.21;12.39;45.73;39.01;14.69;12.32;8.1;12.25;67.35;128.56;111.01;106.07;104.02;112.6;101.64;113.46;102.33;106.01;100.39;112.86;107.26;3582273;324073;375372;144241;207739;694504;703946;935387;3241021;341252;2;2;0;0
50;Zaragoza;88;977413;477911;499502;59.22;54.4;8.14;63.52;59.84;5.8;55.2;49.32;10.63;3.38;4.72;20.48;71.42;124.35;111.05;104.82;104.17;111.3;104.82;111.17;101.82;106.44;104.73;111.8;108.6;27896994;1038888;6032878;5008856;1284516;5500071;5652200;5730936;25239489;2657505;2;3;0;0
51;Ceuta;0;83039;41894;41145;61.31;44.84;26.87;66.11;52.27;20.94;56.44;37.33;33.81;0.0;4.03;3.92;92.05;125.36;112.85;106.4;100.29;109.11;100.68;112.95;102.8;105.95;101.35;109.35;106.8;1765159;1748;96752;22099;73384;315553;268574;840997;1597008;168151;3;1;-1;1
52;Melilla;0;85491;43047;42444;57.29;43.85;23.45;62.83;48.33;23.06;51.98;39.54;23.9;0.35;2.98;2.5;94.2;129.23;112.23;102.69;100.96;111.71;105.27;113.48;101.62;106.12;103.14;115.38;106.83;1616543;946;68466;14252;73277;269691;266541;783628;1462549;153994;3;1;-1;1
