codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
9;Burgos;09001 Abajas;Total;2023;28
9;Burgos;09001 Abajas;Total;2022;29
9;Burgos;09001 Abajas;Total;2021;29
9;Burgos;09001 Abajas;Total;2020;31
9;Burgos;09001 Abajas;Total;2019;31
9;Burgos;09001 Abajas;Total;2018;27
9;Burgos;09001 Abajas;Total;2017;27
9;Burgos;09001 Abajas;Total;2016;29
9;Burgos;09001 Abajas;Total;2015;29
9;Burgos;09001 Abajas;Total;2014;29
9;Burgos;09001 Abajas;Total;2013;32
9;Burgos;09001 Abajas;Total;2012;29
9;Burgos;09001 Abajas;Total;2011;29
9;Burgos;09001 Abajas;Total;2010;26
9;Burgos;09001 Abajas;Total;2009;26
9;Burgos;09001 Abajas;Total;2008;30
9;Burgos;09001 Abajas;Total;2007;35
9;Burgos;09001 Abajas;Total;2006;36
9;Burgos;09001 Abajas;Total;2005;39
9;Burgos;09001 Abajas;Total;2004;41
9;Burgos;09001 Abajas;Total;2003;46
9;Burgos;09001 Abajas;Total;2002;55
9;Burgos;09001 Abajas;Total;2001;55
9;Burgos;09001 Abajas;Total;2000;48
9;Burgos;09001 Abajas;Total;1999;30
9;Burgos;09001 Abajas;Total;1998;34
9;Burgos;09001 Abajas;Total;1997;
9;Burgos;09001 Abajas;Total;1996;37
9;Burgos;09001 Abajas;Hombres;2023;18
9;Burgos;09001 Abajas;Hombres;2022;19
9;Burgos;09001 Abajas;Hombres;2021;19
9;Burgos;09001 Abajas;Hombres;2020;20
9;Burgos;09001 Abajas;Hombres;2019;21
9;Burgos;09001 Abajas;Hombres;2018;19
9;Burgos;09001 Abajas;Hombres;2017;19
9;Burgos;09001 Abajas;Hombres;2016;19
9;Burgos;09001 Abajas;Hombres;2015;18
9;Burgos;09001 Abajas;Hombres;2014;18
9;Burgos;09001 Abajas;Hombres;2013;18
9;Burgos;09001 Abajas;Hombres;2012;18
9;Burgos;09001 Abajas;Hombres;2011;18
9;Burgos;09001 Abajas;Hombres;2010;16
9;Burgos;09001 Abajas;Hombres;2009;16
9;Burgos;09001 Abajas;Hombres;2008;16
9;Burgos;09001 Abajas;Hombres;2007;17
9;Burgos;09001 Abajas;Hombres;2006;18
9;Burgos;09001 Abajas;Hombres;2005;21
9;Burgos;09001 Abajas;Hombres;2004;22
9;Burgos;09001 Abajas;Hombres;2003;25
9;Burgos;09001 Abajas;Hombres;2002;27
9;Burgos;09001 Abajas;Hombres;2001;27
9;Burgos;09001 Abajas;Hombres;2000;26
9;Burgos;09001 Abajas;Hombres;1999;15
9;Burgos;09001 Abajas;Hombres;1998;16
9;Burgos;09001 Abajas;Hombres;1997;
9;Burgos;09001 Abajas;Hombres;1996;18
9;Burgos;09001 Abajas;Mujeres;2023;10
9;Burgos;09001 Abajas;Mujeres;2022;10
9;Burgos;09001 Abajas;Mujeres;2021;10
9;Burgos;09001 Abajas;Mujeres;2020;11
9;Burgos;09001 Abajas;Mujeres;2019;10
9;Burgos;09001 Abajas;Mujeres;2018;8
9;Burgos;09001 Abajas;Mujeres;2017;8
9;Burgos;09001 Abajas;Mujeres;2016;10
9;Burgos;09001 Abajas;Mujeres;2015;11
9;Burgos;09001 Abajas;Mujeres;2014;11
9;Burgos;09001 Abajas;Mujeres;2013;14
9;Burgos;09001 Abajas;Mujeres;2012;11
9;Burgos;09001 Abajas;Mujeres;2011;11
9;Burgos;09001 Abajas;Mujeres;2010;10
9;Burgos;09001 Abajas;Mujeres;2009;10
9;Burgos;09001 Abajas;Mujeres;2008;14
9;Burgos;09001 Abajas;Mujeres;2007;18
9;Burgos;09001 Abajas;Mujeres;2006;18
9;Burgos;09001 Abajas;Mujeres;2005;18
9;Burgos;09001 Abajas;Mujeres;2004;19
9;Burgos;09001 Abajas;Mujeres;2003;21
9;Burgos;09001 Abajas;Mujeres;2002;28
9;Burgos;09001 Abajas;Mujeres;2001;28
9;Burgos;09001 Abajas;Mujeres;2000;22
9;Burgos;09001 Abajas;Mujeres;1999;15
9;Burgos;09001 Abajas;Mujeres;1998;18
9;Burgos;09001 Abajas;Mujeres;1997;
9;Burgos;09001 Abajas;Mujeres;1996;19
9;Burgos;09003 Adrada de Haza;Total;2023;202
9;Burgos;09003 Adrada de Haza;Total;2022;199
9;Burgos;09003 Adrada de Haza;Total;2021;197
9;Burgos;09003 Adrada de Haza;Total;2020;203
9;Burgos;09003 Adrada de Haza;Total;2019;203
9;Burgos;09003 Adrada de Haza;Total;2018;219
9;Burgos;09003 Adrada de Haza;Total;2017;221
9;Burgos;09003 Adrada de Haza;Total;2016;222
9;Burgos;09003 Adrada de Haza;Total;2015;221
9;Burgos;09003 Adrada de Haza;Total;2014;230
9;Burgos;09003 Adrada de Haza;Total;2013;237
9;Burgos;09003 Adrada de Haza;Total;2012;243
9;Burgos;09003 Adrada de Haza;Total;2011;252
9;Burgos;09003 Adrada de Haza;Total;2010;266
9;Burgos;09003 Adrada de Haza;Total;2009;252
9;Burgos;09003 Adrada de Haza;Total;2008;261
9;Burgos;09003 Adrada de Haza;Total;2007;263
9;Burgos;09003 Adrada de Haza;Total;2006;250
9;Burgos;09003 Adrada de Haza;Total;2005;257
9;Burgos;09003 Adrada de Haza;Total;2004;260
9;Burgos;09003 Adrada de Haza;Total;2003;266
9;Burgos;09003 Adrada de Haza;Total;2002;273
9;Burgos;09003 Adrada de Haza;Total;2001;284
9;Burgos;09003 Adrada de Haza;Total;2000;286
9;Burgos;09003 Adrada de Haza;Total;1999;285
9;Burgos;09003 Adrada de Haza;Total;1998;295
9;Burgos;09003 Adrada de Haza;Total;1997;
9;Burgos;09003 Adrada de Haza;Total;1996;307
9;Burgos;09003 Adrada de Haza;Hombres;2023;98
9;Burgos;09003 Adrada de Haza;Hombres;2022;97
9;Burgos;09003 Adrada de Haza;Hombres;2021;97
9;Burgos;09003 Adrada de Haza;Hombres;2020;99
9;Burgos;09003 Adrada de Haza;Hombres;2019;101
9;Burgos;09003 Adrada de Haza;Hombres;2018;110
9;Burgos;09003 Adrada de Haza;Hombres;2017;111
9;Burgos;09003 Adrada de Haza;Hombres;2016;114
9;Burgos;09003 Adrada de Haza;Hombres;2015;117
9;Burgos;09003 Adrada de Haza;Hombres;2014;121
9;Burgos;09003 Adrada de Haza;Hombres;2013;124
9;Burgos;09003 Adrada de Haza;Hombres;2012;127
9;Burgos;09003 Adrada de Haza;Hombres;2011;135
9;Burgos;09003 Adrada de Haza;Hombres;2010;146
9;Burgos;09003 Adrada de Haza;Hombres;2009;140
9;Burgos;09003 Adrada de Haza;Hombres;2008;144
9;Burgos;09003 Adrada de Haza;Hombres;2007;145
9;Burgos;09003 Adrada de Haza;Hombres;2006;133
9;Burgos;09003 Adrada de Haza;Hombres;2005;136
9;Burgos;09003 Adrada de Haza;Hombres;2004;142
9;Burgos;09003 Adrada de Haza;Hombres;2003;150
9;Burgos;09003 Adrada de Haza;Hombres;2002;151
9;Burgos;09003 Adrada de Haza;Hombres;2001;154
