codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
18;Granada;18001 Agrón;Total;2023;239
18;Granada;18001 Agrón;Total;2022;247
18;Granada;18001 Agrón;Total;2021;255
18;Granada;18001 Agrón;Total;2020;260
18;Granada;18001 Agrón;Total;2019;274
18;Granada;18001 Agrón;Total;2018;288
18;Granada;18001 Agrón;Total;2017;290
18;Granada;18001 Agrón;Total;2016;297
18;Granada;18001 Agrón;Total;2015;310
18;Granada;18001 Agrón;Total;2014;313
18;Granada;18001 Agrón;Total;2013;324
18;Granada;18001 Agrón;Total;2012;342
18;Granada;18001 Agrón;Total;2011;330
18;Granada;18001 Agrón;Total;2010;340
18;Granada;18001 Agrón;Total;2009;358
18;Granada;18001 Agrón;Total;2008;381
18;Granada;18001 Agrón;Total;2007;374
18;Granada;18001 Agrón;Total;2006;283
18;Granada;18001 Agrón;Total;2005;301
18;Granada;18001 Agrón;Total;2004;320
18;Granada;18001 Agrón;Total;2003;344
18;Granada;18001 Agrón;Total;2002;354
18;Granada;18001 Agrón;Total;2001;380
18;Granada;18001 Agrón;Total;2000;392
18;Granada;18001 Agrón;Total;1999;415
18;Granada;18001 Agrón;Total;1998;425
18;Granada;18001 Agrón;Total;1997;
18;Granada;18001 Agrón;Total;1996;440
18;Granada;18001 Agrón;Hombres;2023;126
18;Granada;18001 Agrón;Hombres;2022;130
18;Granada;18001 Agrón;Hombres;2021;131
18;Granada;18001 Agrón;Hombres;2020;131
18;Granada;18001 Agrón;Hombres;2019;134
18;Granada;18001 Agrón;Hombres;2018;141
18;Granada;18001 Agrón;Hombres;2017;146
18;Granada;18001 Agrón;Hombres;2016;149
18;Granada;18001 Agrón;Hombres;2015;157
18;Granada;18001 Agrón;Hombres;2014;162
18;Granada;18001 Agrón;Hombres;2013;168
18;Granada;18001 Agrón;Hombres;2012;185
18;Granada;18001 Agrón;Hombres;2011;182
18;Granada;18001 Agrón;Hombres;2010;178
18;Granada;18001 Agrón;Hombres;2009;182
18;Granada;18001 Agrón;Hombres;2008;199
18;Granada;18001 Agrón;Hombres;2007;190
18;Granada;18001 Agrón;Hombres;2006;150
18;Granada;18001 Agrón;Hombres;2005;158
18;Granada;18001 Agrón;Hombres;2004;169
18;Granada;18001 Agrón;Hombres;2003;180
18;Granada;18001 Agrón;Hombres;2002;181
