codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
19;Guadalajara;19001 Abánades;Total;2023;62
19;Guadalajara;19001 Abánades;Total;2022;61
19;Guadalajara;19001 Abánades;Total;2021;55
19;Guadalajara;19001 Abánades;Total;2020;53
19;Guadalajara;19001 Abánades;Total;2019;48
19;Guadalajara;19001 Abánades;Total;2018;53
19;Guadalajara;19001 Abánades;Total;2017;55
19;Guadalajara;19001 Abánades;Total;2016;59
19;Guadalajara;19001 Abánades;Total;2015;63
19;Guadalajara;19001 Abánades;Total;2014;61
19;Guadalajara;19001 Abánades;Total;2013;65
19;Guadalajara;19001 Abánades;Total;2012;70
19;Guadalajara;19001 Abánades;Total;2011;75
19;Guadalajara;19001 Abánades;Total;2010;75
19;Guadalajara;19001 Abánades;Total;2009;83
19;Guadalajara;19001 Abánades;Total;2008;90
19;Guadalajara;19001 Abánades;Total;2007;94
19;Guadalajara;19001 Abánades;Total;2006;97
19;Guadalajara;19001 Abánades;Total;2005;98
19;Guadalajara;19001 Abánades;Total;2004;107
19;Guadalajara;19001 Abánades;Total;2003;107
19;Guadalajara;19001 Abánades;Total;2002;111
19;Guadalajara;19001 Abánades;Total;2001;109
19;Guadalajara;19001 Abánades;Total;2000;116
19;Guadalajara;19001 Abánades;Total;1999;119
19;Guadalajara;19001 Abánades;Total;1998;115
19;Guadalajara;19001 Abánades;Total;1997;
19;Guadalajara;19001 Abánades;Total;1996;125
19;Guadalajara;19001 Abánades;Hombres;2023;38
19;Guadalajara;19001 Abánades;Hombres;2022;37
19;Guadalajara;19001 Abánades;Hombres;2021;34
19;Guadalajara;19001 Abánades;Hombres;2020;30
19;Guadalajara;19001 Abánades;Hombres;2019;26
19;Guadalajara;19001 Abánades;Hombres;2018;29
19;Guadalajara;19001 Abánades;Hombres;2017;30
19;Guadalajara;19001 Abánades;Hombres;2016;34
19;Guadalajara;19001 Abánades;Hombres;2015;37
19;Guadalajara;19001 Abánades;Hombres;2014;35
19;Guadalajara;19001 Abánades;Hombres;2013;37
19;Guadalajara;19001 Abánades;Hombres;2012;38
19;Guadalajara;19001 Abánades;Hombres;2011;40
19;Guadalajara;19001 Abánades;Hombres;2010;37
19;Guadalajara;19001 Abánades;Hombres;2009;42
19;Guadalajara;19001 Abánades;Hombres;2008;46
19;Guadalajara;19001 Abánades;Hombres;2007;48
19;Guadalajara;19001 Abánades;Hombres;2006;52
19;Guadalajara;19001 Abánades;Hombres;2005;54
19;Guadalajara;19001 Abánades;Hombres;2004;61
19;Guadalajara;19001 Abánades;Hombres;2003;61
19;Guadalajara;19001 Abánades;Hombres;2002;64
19;Guadalajara;19001 Abánades;Hombres;2001;63
19;Guadalajara;19001 Abánades;Hombres;2000;66
19;Guadalajara;19001 Abánades;Hombres;1999;66
19;Guadalajara;19001 Abánades;Hombres;1998;62
19;Guadalajara;19001 Abánades;Hombres;1997;
19;Guadalajara;19001 Abánades;Hombres;1996;67
19;Guadalajara;19001 Abánades;Mujeres;2023;24
19;Guadalajara;19001 Abánades;Mujeres;2022;24
19;Guadalajara;19001 Abánades;Mujeres;2021;21
19;Guadalajara;19001 Abánades;Mujeres;2020;23
19;Guadalajara;19001 Abánades;Mujeres;2019;22
19;Guadalajara;19001 Abánades;Mujeres;2018;24
19;Guadalajara;19001 Abánades;Mujeres;2017;25
19;Guadalajara;19001 Abánades;Mujeres;2016;25
19;Guadalajara;19001 Abánades;Mujeres;2015;26
19;Guadalajara;19001 Abánades;Mujeres;2014;26
19;Guadalajara;19001 Abánades;Mujeres;2013;28
19;Guadalajara;19001 Abánades;Mujeres;2012;32
19;Guadalajara;19001 Abánades;Mujeres;2011;35
19;Guadalajara;19001 Abánades;Mujeres;2010;38
19;Guadalajara;19001 Abánades;Mujeres;2009;41
19;Guadalajara;19001 Abánades;Mujeres;2008;44
19;Guadalajara;19001 Abánades;Mujeres;2007;46
19;Guadalajara;19001 Abánades;Mujeres;2006;45
19;Guadalajara;19001 Abánades;Mujeres;2005;44
19;Guadalajara;19001 Abánades;Mujeres;2004;46
19;Guadalajara;19001 Abánades;Mujeres;2003;46
19;Guadalajara;19001 Abánades;Mujeres;2002;47
19;Guadalajara;19001 Abánades;Mujeres;2001;46
19;Guadalajara;19001 Abánades;Mujeres;2000;50
19;Guadalajara;19001 Abánades;Mujeres;1999;53
19;Guadalajara;19001 Abánades;Mujeres;1998;53
19;Guadalajara;19001 Abánades;Mujeres;1997;
19;Guadalajara;19001 Abánades;Mujeres;1996;58
19;Guadalajara;19002 Ablanque;Total;2023;66
19;Guadalajara;19002 Ablanque;Total;2022;63
19;Guadalajara;19002 Ablanque;Total;2021;60
19;Guadalajara;19002 Ablanque;Total;2020;55
19;Guadalajara;19002 Ablanque;Total;2019;59
19;Guadalajara;19002 Ablanque;Total;2018;60
19;Guadalajara;19002 Ablanque;Total;2017;62
19;Guadalajara;19002 Ablanque;Total;2016;73
19;Guadalajara;19002 Ablanque;Total;2015;74
19;Guadalajara;19002 Ablanque;Total;2014;80
19;Guadalajara;19002 Ablanque;Total;2013;89
19;Guadalajara;19002 Ablanque;Total;2012;100
19;Guadalajara;19002 Ablanque;Total;2011;98
19;Guadalajara;19002 Ablanque;Total;2010;107
19;Guadalajara;19002 Ablanque;Total;2009;110
19;Guadalajara;19002 Ablanque;Total;2008;107
19;Guadalajara;19002 Ablanque;Total;2007;115
19;Guadalajara;19002 Ablanque;Total;2006;129
19;Guadalajara;19002 Ablanque;Total;2005;128
19;Guadalajara;19002 Ablanque;Total;2004;140
19;Guadalajara;19002 Ablanque;Total;2003;141
19;Guadalajara;19002 Ablanque;Total;2002;145
19;Guadalajara;19002 Ablanque;Total;2001;154
19;Guadalajara;19002 Ablanque;Total;2000;153
19;Guadalajara;19002 Ablanque;Total;1999;154
19;Guadalajara;19002 Ablanque;Total;1998;158
19;Guadalajara;19002 Ablanque;Total;1997;
19;Guadalajara;19002 Ablanque;Total;1996;157
19;Guadalajara;19002 Ablanque;Hombres;2023;42
19;Guadalajara;19002 Ablanque;Hombres;2022;35
19;Guadalajara;19002 Ablanque;Hombres;2021;33
19;Guadalajara;19002 Ablanque;Hombres;2020;30
19;Guadalajara;19002 Ablanque;Hombres;2019;31
19;Guadalajara;19002 Ablanque;Hombres;2018;34
19;Guadalajara;19002 Ablanque;Hombres;2017;36
19;Guadalajara;19002 Ablanque;Hombres;2016;43
19;Guadalajara;19002 Ablanque;Hombres;2015;41
19;Guadalajara;19002 Ablanque;Hombres;2014;46
19;Guadalajara;19002 Ablanque;Hombres;2013;51
19;Guadalajara;19002 Ablanque;Hombres;2012;59
19;Guadalajara;19002 Ablanque;Hombres;2011;57
19;Guadalajara;19002 Ablanque;Hombres;2010;61
19;Guadalajara;19002 Ablanque;Hombres;2009;60
19;Guadalajara;19002 Ablanque;Hombres;2008;56
19;Guadalajara;19002 Ablanque;Hombres;2007;59
19;Guadalajara;19002 Ablanque;Hombres;2006;66
19;Guadalajara;19002 Ablanque;Hombres;2005;65
19;Guadalajara;19002 Ablanque;Hombres;2004;72
19;Guadalajara;19002 Ablanque;Hombres;2003;74
19;Guadalajara;19002 Ablanque;Hombres;2002;77
19;Guadalajara;19002 Ablanque;Hombres;2001;77
19;Guadalajara;19002 Ablanque;Hombres;2000;77
19;Guadalajara;19002 Ablanque;Hombres;1999;76
19;Guadalajara;19002 Ablanque;Hombres;1998;79
19;Guadalajara;19002 Ablanque;Hombres;1997;
19;Guadalajara;19002 Ablanque;Hombres;1996;79
19;Guadalajara;19002 Ablanque;Mujeres;2023;24
19;Guadalajara;19002 Ablanque;Mujeres;2022;28
19;Guadalajara;19002 Ablanque;Mujeres;2021;27
19;Guadalajara;19002 Ablanque;Mujeres;2020;25
19;Guadalajara;19002 Ablanque;Mujeres;2019;28
19;Guadalajara;19002 Ablanque;Mujeres;2018;26
19;Guadalajara;19002 Ablanque;Mujeres;2017;26
19;Guadalajara;19002 Ablanque;Mujeres;2016;30
19;Guadalajara;19002 Ablanque;Mujeres;2015;33
19;Guadalajara;19002 Ablanque;Mujeres;2014;34
19;Guadalajara;19002 Ablanque;Mujeres;2013;38
19;Guadalajara;19002 Ablanque;Mujeres;2012;41
19;Guadalajara;19002 Ablanque;Mujeres;2011;41
19;Guadalajara;19002 Ablanque;Mujeres;2010;46
19;Guadalajara;19002 Ablanque;Mujeres;2009;50
19;Guadalajara;19002 Ablanque;Mujeres;2008;51
19;Guadalajara;19002 Ablanque;Mujeres;2007;56
19;Guadalajara;19002 Ablanque;Mujeres;2006;63
19;Guadalajara;19002 Ablanque;Mujeres;2005;63
19;Guadalajara;19002 Ablanque;Mujeres;2004;68
19;Guadalajara;19002 Ablanque;Mujeres;2003;67
19;Guadalajara;19002 Ablanque;Mujeres;2002;68
19;Guadalajara;19002 Ablanque;Mujeres;2001;77
19;Guadalajara;19002 Ablanque;Mujeres;2000;76
19;Guadalajara;19002 Ablanque;Mujeres;1999;78
19;Guadalajara;19002 Ablanque;Mujeres;1998;79
19;Guadalajara;19002 Ablanque;Mujeres;1997;
19;Guadalajara;19002 Ablanque;Mujeres;1996;78
19;Guadalajara;19003 Adobes;Total;2023;30
19;Guadalajara;19003 Adobes;Total;2022;28
19;Guadalajara;19003 Adobes;Total;2021;32
19;Guadalajara;19003 Adobes;Total;2020;35
19;Guadalajara;19003 Adobes;Total;2019;29
19;Guadalajara;19003 Adobes;Total;2018;31
19;Guadalajara;19003 Adobes;Total;2017;38
19;Guadalajara;19003 Adobes;Total;2016;42
19;Guadalajara;19003 Adobes;Total;2015;43
19;Guadalajara;19003 Adobes;Total;2014;44
19;Guadalajara;19003 Adobes;Total;2013;45
19;Guadalajara;19003 Adobes;Total;2012;53
19;Guadalajara;19003 Adobes;Total;2011;52
19;Guadalajara;19003 Adobes;Total;2010;54
19;Guadalajara;19003 Adobes;Total;2009;55
19;Guadalajara;19003 Adobes;Total;2008;62
19;Guadalajara;19003 Adobes;Total;2007;57
19;Guadalajara;19003 Adobes;Total;2006;61
19;Guadalajara;19003 Adobes;Total;2005;70
19;Guadalajara;19003 Adobes;Total;2004;68
19;Guadalajara;19003 Adobes;Total;2003;64
19;Guadalajara;19003 Adobes;Total;2002;50
19;Guadalajara;19003 Adobes;Total;2001;44
19;Guadalajara;19003 Adobes;Total;2000;41
19;Guadalajara;19003 Adobes;Total;1999;42
