codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
33;Asturias;33001 Allande;Total;2023;1552
33;Asturias;33001 Allande;Total;2022;1574
33;Asturias;33001 Allande;Total;2021;1620
33;Asturias;33001 Allande;Total;2020;1615
33;Asturias;33001 Allande;Total;2019;1648
33;Asturias;33001 Allande;Total;2018;1697
33;Asturias;33001 Allande;Total;2017;1742
33;Asturias;33001 Allande;Total;2016;1766
33;Asturias;33001 Allande;Total;2015;1826
33;Asturias;33001 Allande;Total;2014;1858
33;Asturias;33001 Allande;Total;2013;1891
33;Asturias;33001 Allande;Total;2012;1939
33;Asturias;33001 Allande;Total;2011;2004
33;Asturias;33001 Allande;Total;2010;2031
33;Asturias;33001 Allande;Total;2009;2068
33;Asturias;33001 Allande;Total;2008;2106
33;Asturias;33001 Allande;Total;2007;2169
33;Asturias;33001 Allande;Total;2006;2181
33;Asturias;33001 Allande;Total;2005;2228
33;Asturias;33001 Allande;Total;2004;2261
33;Asturias;33001 Allande;Total;2003;2296
33;Asturias;33001 Allande;Total;2002;2374
33;Asturias;33001 Allande;Total;2001;2454
33;Asturias;33001 Allande;Total;2000;2501
33;Asturias;33001 Allande;Total;1999;2519
33;Asturias;33001 Allande;Total;1998;2558
33;Asturias;33001 Allande;Total;1997;
33;Asturias;33001 Allande;Total;1996;2613
33;Asturias;33001 Allande;Hombres;2023;767
33;Asturias;33001 Allande;Hombres;2022;785
33;Asturias;33001 Allande;Hombres;2021;800
33;Asturias;33001 Allande;Hombres;2020;799
33;Asturias;33001 Allande;Hombres;2019;833
33;Asturias;33001 Allande;Hombres;2018;854
33;Asturias;33001 Allande;Hombres;2017;881
33;Asturias;33001 Allande;Hombres;2016;882
33;Asturias;33001 Allande;Hombres;2015;915
33;Asturias;33001 Allande;Hombres;2014;936
33;Asturias;33001 Allande;Hombres;2013;964
33;Asturias;33001 Allande;Hombres;2012;986
33;Asturias;33001 Allande;Hombres;2011;1020
33;Asturias;33001 Allande;Hombres;2010;1035
33;Asturias;33001 Allande;Hombres;2009;1056
33;Asturias;33001 Allande;Hombres;2008;1079
33;Asturias;33001 Allande;Hombres;2007;1107
33;Asturias;33001 Allande;Hombres;2006;1105
33;Asturias;33001 Allande;Hombres;2005;1131
33;Asturias;33001 Allande;Hombres;2004;1158
33;Asturias;33001 Allande;Hombres;2003;1191
33;Asturias;33001 Allande;Hombres;2002;1228
33;Asturias;33001 Allande;Hombres;2001;1262
33;Asturias;33001 Allande;Hombres;2000;1287
33;Asturias;33001 Allande;Hombres;1999;1297
33;Asturias;33001 Allande;Hombres;1998;1309
33;Asturias;33001 Allande;Hombres;1997;
33;Asturias;33001 Allande;Hombres;1996;1335
33;Asturias;33001 Allande;Mujeres;2023;785
33;Asturias;33001 Allande;Mujeres;2022;789
33;Asturias;33001 Allande;Mujeres;2021;820
33;Asturias;33001 Allande;Mujeres;2020;816
33;Asturias;33001 Allande;Mujeres;2019;815
33;Asturias;33001 Allande;Mujeres;2018;843
33;Asturias;33001 Allande;Mujeres;2017;861
33;Asturias;33001 Allande;Mujeres;2016;884
33;Asturias;33001 Allande;Mujeres;2015;911
33;Asturias;33001 Allande;Mujeres;2014;922
33;Asturias;33001 Allande;Mujeres;2013;927
33;Asturias;33001 Allande;Mujeres;2012;953
33;Asturias;33001 Allande;Mujeres;2011;984
33;Asturias;33001 Allande;Mujeres;2010;996
33;Asturias;33001 Allande;Mujeres;2009;1012
33;Asturias;33001 Allande;Mujeres;2008;1027
33;Asturias;33001 Allande;Mujeres;2007;1062
33;Asturias;33001 Allande;Mujeres;2006;1076
33;Asturias;33001 Allande;Mujeres;2005;1097
33;Asturias;33001 Allande;Mujeres;2004;1103
33;Asturias;33001 Allande;Mujeres;2003;1105
33;Asturias;33001 Allande;Mujeres;2002;1146
33;Asturias;33001 Allande;Mujeres;2001;1192
33;Asturias;33001 Allande;Mujeres;2000;1214
33;Asturias;33001 Allande;Mujeres;1999;1222
33;Asturias;33001 Allande;Mujeres;1998;1249
33;Asturias;33001 Allande;Mujeres;1997;
33;Asturias;33001 Allande;Mujeres;1996;1278
33;Asturias;33002 Aller;Total;2023;10076
33;Asturias;33002 Aller;Total;2022;10201
33;Asturias;33002 Aller;Total;2021;10346
33;Asturias;33002 Aller;Total;2020;10413
33;Asturias;33002 Aller;Total;2019;10613
33;Asturias;33002 Aller;Total;2018;10808
33;Asturias;33002 Aller;Total;2017;11027
