codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
39;Cantabria;39001 Alfoz de Lloredo;Total;2023;2471
39;Cantabria;39001 Alfoz de Lloredo;Total;2022;2466
39;Cantabria;39001 Alfoz de Lloredo;Total;2021;2437
39;Cantabria;39001 Alfoz de Lloredo;Total;2020;2394
39;Cantabria;39001 Alfoz de Lloredo;Total;2019;2416
39;Cantabria;39001 Alfoz de Lloredo;Total;2018;2408
39;Cantabria;39001 Alfoz de Lloredo;Total;2017;2446
39;Cantabria;39001 Alfoz de Lloredo;Total;2016;2466
39;Cantabria;39001 Alfoz de Lloredo;Total;2015;2485
39;Cantabria;39001 Alfoz de Lloredo;Total;2014;2499
39;Cantabria;39001 Alfoz de Lloredo;Total;2013;2530
39;Cantabria;39001 Alfoz de Lloredo;Total;2012;2514
39;Cantabria;39001 Alfoz de Lloredo;Total;2011;2484
39;Cantabria;39001 Alfoz de Lloredo;Total;2010;2493
39;Cantabria;39001 Alfoz de Lloredo;Total;2009;2496
39;Cantabria;39001 Alfoz de Lloredo;Total;2008;2502
39;Cantabria;39001 Alfoz de Lloredo;Total;2007;2529
39;Cantabria;39001 Alfoz de Lloredo;Total;2006;2560
39;Cantabria;39001 Alfoz de Lloredo;Total;2005;2600
39;Cantabria;39001 Alfoz de Lloredo;Total;2004;2590
39;Cantabria;39001 Alfoz de Lloredo;Total;2003;2583
39;Cantabria;39001 Alfoz de Lloredo;Total;2002;2593
39;Cantabria;39001 Alfoz de Lloredo;Total;2001;2590
39;Cantabria;39001 Alfoz de Lloredo;Total;2000;2614
39;Cantabria;39001 Alfoz de Lloredo;Total;1999;2608
39;Cantabria;39001 Alfoz de Lloredo;Total;1998;2608
39;Cantabria;39001 Alfoz de Lloredo;Total;1997;
39;Cantabria;39001 Alfoz de Lloredo;Total;1996;2646
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2023;1276
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2022;1284
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2021;1263
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2020;1238
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2019;1249
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2018;1233
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2017;1254
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2016;1260
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2015;1269
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2014;1277
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2013;1292
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2012;1277
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2011;1263
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2010;1260
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2009;1258
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2008;1276
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2007;1288
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2006;1302
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2005;1327
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2004;1321
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2003;1322
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2002;1326
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2001;1320
39;Cantabria;39001 Alfoz de Lloredo;Hombres;2000;1327
39;Cantabria;39001 Alfoz de Lloredo;Hombres;1999;1332
39;Cantabria;39001 Alfoz de Lloredo;Hombres;1998;1332
39;Cantabria;39001 Alfoz de Lloredo;Hombres;1997;
39;Cantabria;39001 Alfoz de Lloredo;Hombres;1996;1348
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2023;1195
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2022;1182
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2021;1174
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2020;1156
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2019;1167
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2018;1175
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2017;1192
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2016;1206
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2015;1216
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2014;1222
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2013;1238
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2012;1237
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2011;1221
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2010;1233
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2009;1238
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2008;1226
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2007;1241
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2006;1258
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2005;1273
39;Cantabria;39001 Alfoz de Lloredo;Mujeres;2004;1269
