codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
43;Tarragona;43001 Aiguamúrcia;Total;2023;974
43;Tarragona;43001 Aiguamúrcia;Total;2022;961
43;Tarragona;43001 Aiguamúrcia;Total;2021;960
43;Tarragona;43001 Aiguamúrcia;Total;2020;930
43;Tarragona;43001 Aiguamúrcia;Total;2019;901
43;Tarragona;43001 Aiguamúrcia;Total;2018;893
43;Tarragona;43001 Aiguamúrcia;Total;2017;893
43;Tarragona;43001 Aiguamúrcia;Total;2016;903
43;Tarragona;43001 Aiguamúrcia;Total;2015;912
43;Tarragona;43001 Aiguamúrcia;Total;2014;909
43;Tarragona;43001 Aiguamúrcia;Total;2013;918
43;Tarragona;43001 Aiguamúrcia;Total;2012;906
43;Tarragona;43001 Aiguamúrcia;Total;2011;917
43;Tarragona;43001 Aiguamúrcia;Total;2010;914
43;Tarragona;43001 Aiguamúrcia;Total;2009;906
43;Tarragona;43001 Aiguamúrcia;Total;2008;886
43;Tarragona;43001 Aiguamúrcia;Total;2007;864
43;Tarragona;43001 Aiguamúrcia;Total;2006;797
43;Tarragona;43001 Aiguamúrcia;Total;2005;719
43;Tarragona;43001 Aiguamúrcia;Total;2004;690
43;Tarragona;43001 Aiguamúrcia;Total;2003;672
43;Tarragona;43001 Aiguamúrcia;Total;2002;671
43;Tarragona;43001 Aiguamúrcia;Total;2001;651
43;Tarragona;43001 Aiguamúrcia;Total;2000;652
43;Tarragona;43001 Aiguamúrcia;Total;1999;643
43;Tarragona;43001 Aiguamúrcia;Total;1998;627
43;Tarragona;43001 Aiguamúrcia;Total;1997;
43;Tarragona;43001 Aiguamúrcia;Total;1996;614
43;Tarragona;43001 Aiguamúrcia;Hombres;2023;506
43;Tarragona;43001 Aiguamúrcia;Hombres;2022;497
43;Tarragona;43001 Aiguamúrcia;Hombres;2021;495
43;Tarragona;43001 Aiguamúrcia;Hombres;2020;483
43;Tarragona;43001 Aiguamúrcia;Hombres;2019;465
43;Tarragona;43001 Aiguamúrcia;Hombres;2018;457
43;Tarragona;43001 Aiguamúrcia;Hombres;2017;460
43;Tarragona;43001 Aiguamúrcia;Hombres;2016;476
43;Tarragona;43001 Aiguamúrcia;Hombres;2015;486
43;Tarragona;43001 Aiguamúrcia;Hombres;2014;487
43;Tarragona;43001 Aiguamúrcia;Hombres;2013;486
43;Tarragona;43001 Aiguamúrcia;Hombres;2012;473
43;Tarragona;43001 Aiguamúrcia;Hombres;2011;479
43;Tarragona;43001 Aiguamúrcia;Hombres;2010;482
43;Tarragona;43001 Aiguamúrcia;Hombres;2009;480
43;Tarragona;43001 Aiguamúrcia;Hombres;2008;472
43;Tarragona;43001 Aiguamúrcia;Hombres;2007;460
43;Tarragona;43001 Aiguamúrcia;Hombres;2006;429
43;Tarragona;43001 Aiguamúrcia;Hombres;2005;392
43;Tarragona;43001 Aiguamúrcia;Hombres;2004;373
43;Tarragona;43001 Aiguamúrcia;Hombres;2003;355
43;Tarragona;43001 Aiguamúrcia;Hombres;2002;351
43;Tarragona;43001 Aiguamúrcia;Hombres;2001;337
43;Tarragona;43001 Aiguamúrcia;Hombres;2000;339
43;Tarragona;43001 Aiguamúrcia;Hombres;1999;329
43;Tarragona;43001 Aiguamúrcia;Hombres;1998;313
43;Tarragona;43001 Aiguamúrcia;Hombres;1997;
43;Tarragona;43001 Aiguamúrcia;Hombres;1996;310
43;Tarragona;43001 Aiguamúrcia;Mujeres;2023;468
43;Tarragona;43001 Aiguamúrcia;Mujeres;2022;464
43;Tarragona;43001 Aiguamúrcia;Mujeres;2021;465
43;Tarragona;43001 Aiguamúrcia;Mujeres;2020;447
43;Tarragona;43001 Aiguamúrcia;Mujeres;2019;436
43;Tarragona;43001 Aiguamúrcia;Mujeres;2018;436
43;Tarragona;43001 Aiguamúrcia;Mujeres;2017;433
43;Tarragona;43001 Aiguamúrcia;Mujeres;2016;427
43;Tarragona;43001 Aiguamúrcia;Mujeres;2015;426
43;Tarragona;43001 Aiguamúrcia;Mujeres;2014;422
43;Tarragona;43001 Aiguamúrcia;Mujeres;2013;432
