codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
28;Madrid;28001 Acebeda, La;Total;2023;67
28;Madrid;28001 Acebeda, La;Total;2022;62
28;Madrid;28001 Acebeda, La;Total;2021;55
28;Madrid;28001 Acebeda, La;Total;2020;68
28;Madrid;28001 Acebeda, La;Total;2019;84
28;Madrid;28001 Acebeda, La;Total;2018;65
28;Madrid;28001 Acebeda, La;Total;2017;66
28;Madrid;28001 Acebeda, La;Total;2016;66
28;Madrid;28001 Acebeda, La;Total;2015;65
28;Madrid;28001 Acebeda, La;Total;2014;67
28;Madrid;28001 Acebeda, La;Total;2013;67
28;Madrid;28001 Acebeda, La;Total;2012;65
28;Madrid;28001 Acebeda, La;Total;2011;62
28;Madrid;28001 Acebeda, La;Total;2010;59
28;Madrid;28001 Acebeda, La;Total;2009;61
28;Madrid;28001 Acebeda, La;Total;2008;57
28;Madrid;28001 Acebeda, La;Total;2007;58
28;Madrid;28001 Acebeda, La;Total;2006;59
28;Madrid;28001 Acebeda, La;Total;2005;60
28;Madrid;28001 Acebeda, La;Total;2004;55
28;Madrid;28001 Acebeda, La;Total;2003;55
28;Madrid;28001 Acebeda, La;Total;2002;53
28;Madrid;28001 Acebeda, La;Total;2001;56
28;Madrid;28001 Acebeda, La;Total;2000;57
28;Madrid;28001 Acebeda, La;Total;1999;47
28;Madrid;28001 Acebeda, La;Total;1998;47
28;Madrid;28001 Acebeda, La;Total;1997;
28;Madrid;28001 Acebeda, La;Total;1996;53
28;Madrid;28001 Acebeda, La;Hombres;2023;34
28;Madrid;28001 Acebeda, La;Hombres;2022;32
28;Madrid;28001 Acebeda, La;Hombres;2021;26
28;Madrid;28001 Acebeda, La;Hombres;2020;34
28;Madrid;28001 Acebeda, La;Hombres;2019;44
28;Madrid;28001 Acebeda, La;Hombres;2018;35
28;Madrid;28001 Acebeda, La;Hombres;2017;37
28;Madrid;28001 Acebeda, La;Hombres;2016;36
28;Madrid;28001 Acebeda, La;Hombres;2015;36
28;Madrid;28001 Acebeda, La;Hombres;2014;37
28;Madrid;28001 Acebeda, La;Hombres;2013;37
28;Madrid;28001 Acebeda, La;Hombres;2012;36
28;Madrid;28001 Acebeda, La;Hombres;2011;32
28;Madrid;28001 Acebeda, La;Hombres;2010;30
28;Madrid;28001 Acebeda, La;Hombres;2009;33
28;Madrid;28001 Acebeda, La;Hombres;2008;30
28;Madrid;28001 Acebeda, La;Hombres;2007;31
28;Madrid;28001 Acebeda, La;Hombres;2006;31
28;Madrid;28001 Acebeda, La;Hombres;2005;30
28;Madrid;28001 Acebeda, La;Hombres;2004;29
28;Madrid;28001 Acebeda, La;Hombres;2003;29
28;Madrid;28001 Acebeda, La;Hombres;2002;28
28;Madrid;28001 Acebeda, La;Hombres;2001;31
28;Madrid;28001 Acebeda, La;Hombres;2000;31
28;Madrid;28001 Acebeda, La;Hombres;1999;26
28;Madrid;28001 Acebeda, La;Hombres;1998;26
28;Madrid;28001 Acebeda, La;Hombres;1997;
28;Madrid;28001 Acebeda, La;Hombres;1996;28
28;Madrid;28001 Acebeda, La;Mujeres;2023;33
28;Madrid;28001 Acebeda, La;Mujeres;2022;30
28;Madrid;28001 Acebeda, La;Mujeres;2021;29
28;Madrid;28001 Acebeda, La;Mujeres;2020;34
28;Madrid;28001 Acebeda, La;Mujeres;2019;40
28;Madrid;28001 Acebeda, La;Mujeres;2018;30
28;Madrid;28001 Acebeda, La;Mujeres;2017;29
28;Madrid;28001 Acebeda, La;Mujeres;2016;30
28;Madrid;28001 Acebeda, La;Mujeres;2015;29
28;Madrid;28001 Acebeda, La;Mujeres;2014;30
28;Madrid;28001 Acebeda, La;Mujeres;2013;30
28;Madrid;28001 Acebeda, La;Mujeres;2012;29
28;Madrid;28001 Acebeda, La;Mujeres;2011;30
28;Madrid;28001 Acebeda, La;Mujeres;2010;29
28;Madrid;28001 Acebeda, La;Mujeres;2009;28
28;Madrid;28001 Acebeda, La;Mujeres;2008;27
