codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
2;Albacete;02001 Abengibre;Total;2023;760
2;Albacete;02001 Abengibre;Total;2022;739
2;Albacete;02001 Abengibre;Total;2021;748
2;Albacete;02001 Abengibre;Total;2020;761
2;Albacete;02001 Abengibre;Total;2019;790
2;Albacete;02001 Abengibre;Total;2018;757
2;Albacete;02001 Abengibre;Total;2017;748
2;Albacete;02001 Abengibre;Total;2016;761
2;Albacete;02001 Abengibre;Total;2015;782
2;Albacete;02001 Abengibre;Total;2014;775
2;Albacete;02001 Abengibre;Total;2013;819
2;Albacete;02001 Abengibre;Total;2012;888
2;Albacete;02001 Abengibre;Total;2011;902
2;Albacete;02001 Abengibre;Total;2010;932
2;Albacete;02001 Abengibre;Total;2009;930
2;Albacete;02001 Abengibre;Total;2008;940
2;Albacete;02001 Abengibre;Total;2007;965
2;Albacete;02001 Abengibre;Total;2006;960
2;Albacete;02001 Abengibre;Total;2005;977
2;Albacete;02001 Abengibre;Total;2004;977
2;Albacete;02001 Abengibre;Total;2003;959
2;Albacete;02001 Abengibre;Total;2002;972
2;Albacete;02001 Abengibre;Total;2001;987
2;Albacete;02001 Abengibre;Total;2000;976
2;Albacete;02001 Abengibre;Total;1999;996
2;Albacete;02001 Abengibre;Total;1998;1007
2;Albacete;02001 Abengibre;Total;1997;
2;Albacete;02001 Abengibre;Total;1996;1019
2;Albacete;02001 Abengibre;Hombres;2023;369
2;Albacete;02001 Abengibre;Hombres;2022;363
2;Albacete;02001 Abengibre;Hombres;2021;365
2;Albacete;02001 Abengibre;Hombres;2020;365
2;Albacete;02001 Abengibre;Hombres;2019;379
2;Albacete;02001 Abengibre;Hombres;2018;363
2;Albacete;02001 Abengibre;Hombres;2017;359
2;Albacete;02001 Abengibre;Hombres;2016;366
2;Albacete;02001 Abengibre;Hombres;2015;386
2;Albacete;02001 Abengibre;Hombres;2014;383
2;Albacete;02001 Abengibre;Hombres;2013;409
2;Albacete;02001 Abengibre;Hombres;2012;447
2;Albacete;02001 Abengibre;Hombres;2011;457
2;Albacete;02001 Abengibre;Hombres;2010;475
2;Albacete;02001 Abengibre;Hombres;2009;473
2;Albacete;02001 Abengibre;Hombres;2008;478
2;Albacete;02001 Abengibre;Hombres;2007;490
2;Albacete;02001 Abengibre;Hombres;2006;476
2;Albacete;02001 Abengibre;Hombres;2005;483
2;Albacete;02001 Abengibre;Hombres;2004;483
2;Albacete;02001 Abengibre;Hombres;2003;480
2;Albacete;02001 Abengibre;Hombres;2002;478
2;Albacete;02001 Abengibre;Hombres;2001;487
2;Albacete;02001 Abengibre;Hombres;2000;479
2;Albacete;02001 Abengibre;Hombres;1999;493
2;Albacete;02001 Abengibre;Hombres;1998;499
2;Albacete;02001 Abengibre;Hombres;1997;
2;Albacete;02001 Abengibre;Hombres;1996;506
2;Albacete;02001 Abengibre;Mujeres;2023;391
2;Albacete;02001 Abengibre;Mujeres;2022;376
2;Albacete;02001 Abengibre;Mujeres;2021;383
2;Albacete;02001 Abengibre;Mujeres;2020;396
2;Albacete;02001 Abengibre;Mujeres;2019;411
2;Albacete;02001 Abengibre;Mujeres;2018;394
2;Albacete;02001 Abengibre;Mujeres;2017;389
2;Albacete;02001 Abengibre;Mujeres;2016;395
2;Albacete;02001 Abengibre;Mujeres;2015;396
2;Albacete;02001 Abengibre;Mujeres;2014;392
2;Albacete;02001 Abengibre;Mujeres;2013;410
2;Albacete;02001 Abengibre;Mujeres;2012;441
2;Albacete;02001 Abengibre;Mujeres;2011;445
2;Albacete;02001 Abengibre;Mujeres;2010;457
2;Albacete;02001 Abengibre;Mujeres;2009;457
2;Albacete;02001 Abengibre;Mujeres;2008;462
