codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
38;Santa Cruz de Tenerife;38001 Adeje;Total;2023;50167
38;Santa Cruz de Tenerife;38001 Adeje;Total;2022;49270
38;Santa Cruz de Tenerife;38001 Adeje;Total;2021;48733
38;Santa Cruz de Tenerife;38001 Adeje;Total;2020;49030
38;Santa Cruz de Tenerife;38001 Adeje;Total;2019;47869
38;Santa Cruz de Tenerife;38001 Adeje;Total;2018;47280
38;Santa Cruz de Tenerife;38001 Adeje;Total;2017;46833
38;Santa Cruz de Tenerife;38001 Adeje;Total;2016;47316
38;Santa Cruz de Tenerife;38001 Adeje;Total;2015;45405
38;Santa Cruz de Tenerife;38001 Adeje;Total;2014;46667
38;Santa Cruz de Tenerife;38001 Adeje;Total;2013;49387
38;Santa Cruz de Tenerife;38001 Adeje;Total;2012;46894
38;Santa Cruz de Tenerife;38001 Adeje;Total;2011;45134
38;Santa Cruz de Tenerife;38001 Adeje;Total;2010;43801
38;Santa Cruz de Tenerife;38001 Adeje;Total;2009;43204
38;Santa Cruz de Tenerife;38001 Adeje;Total;2008;41002
38;Santa Cruz de Tenerife;38001 Adeje;Total;2007;38245
38;Santa Cruz de Tenerife;38001 Adeje;Total;2006;36764
38;Santa Cruz de Tenerife;38001 Adeje;Total;2005;33722
38;Santa Cruz de Tenerife;38001 Adeje;Total;2004;30304
38;Santa Cruz de Tenerife;38001 Adeje;Total;2003;27640
38;Santa Cruz de Tenerife;38001 Adeje;Total;2002;25341
38;Santa Cruz de Tenerife;38001 Adeje;Total;2001;21862
38;Santa Cruz de Tenerife;38001 Adeje;Total;2000;14007
38;Santa Cruz de Tenerife;38001 Adeje;Total;1999;13605
38;Santa Cruz de Tenerife;38001 Adeje;Total;1998;13605
38;Santa Cruz de Tenerife;38001 Adeje;Total;1997;
38;Santa Cruz de Tenerife;38001 Adeje;Total;1996;14029
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2023;25085
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2022;24793
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2021;24562
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2020;24675
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2019;24110
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2018;23844
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2017;23612
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2016;23944
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2015;23024
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2014;23745
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2013;25276
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2012;24065
38;Santa Cruz de Tenerife;38001 Adeje;Hombres;2011;23234
