codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
22;Huesca;22001 Abiego;Total;2023;261
22;Huesca;22001 Abiego;Total;2022;278
22;Huesca;22001 Abiego;Total;2021;271
22;Huesca;22001 Abiego;Total;2020;258
22;Huesca;22001 Abiego;Total;2019;248
22;Huesca;22001 Abiego;Total;2018;237
22;Huesca;22001 Abiego;Total;2017;246
22;Huesca;22001 Abiego;Total;2016;247
22;Huesca;22001 Abiego;Total;2015;253
22;Huesca;22001 Abiego;Total;2014;267
22;Huesca;22001 Abiego;Total;2013;279
22;Huesca;22001 Abiego;Total;2012;277
22;Huesca;22001 Abiego;Total;2011;280
22;Huesca;22001 Abiego;Total;2010;281
22;Huesca;22001 Abiego;Total;2009;286
22;Huesca;22001 Abiego;Total;2008;288
22;Huesca;22001 Abiego;Total;2007;292
22;Huesca;22001 Abiego;Total;2006;288
22;Huesca;22001 Abiego;Total;2005;277
22;Huesca;22001 Abiego;Total;2004;288
22;Huesca;22001 Abiego;Total;2003;284
22;Huesca;22001 Abiego;Total;2002;291
22;Huesca;22001 Abiego;Total;2001;298
22;Huesca;22001 Abiego;Total;2000;292
22;Huesca;22001 Abiego;Total;1999;290
22;Huesca;22001 Abiego;Total;1998;290
22;Huesca;22001 Abiego;Total;1997;
22;Huesca;22001 Abiego;Total;1996;305
22;Huesca;22001 Abiego;Hombres;2023;134
22;Huesca;22001 Abiego;Hombres;2022;139
22;Huesca;22001 Abiego;Hombres;2021;138
22;Huesca;22001 Abiego;Hombres;2020;135
22;Huesca;22001 Abiego;Hombres;2019;130
22;Huesca;22001 Abiego;Hombres;2018;124
22;Huesca;22001 Abiego;Hombres;2017;127
22;Huesca;22001 Abiego;Hombres;2016;132
22;Huesca;22001 Abiego;Hombres;2015;136
22;Huesca;22001 Abiego;Hombres;2014;139
22;Huesca;22001 Abiego;Hombres;2013;144
22;Huesca;22001 Abiego;Hombres;2012;146
22;Huesca;22001 Abiego;Hombres;2011;148
22;Huesca;22001 Abiego;Hombres;2010;148
22;Huesca;22001 Abiego;Hombres;2009;153
22;Huesca;22001 Abiego;Hombres;2008;157
22;Huesca;22001 Abiego;Hombres;2007;159
22;Huesca;22001 Abiego;Hombres;2006;155
22;Huesca;22001 Abiego;Hombres;2005;150
22;Huesca;22001 Abiego;Hombres;2004;149
22;Huesca;22001 Abiego;Hombres;2003;143
22;Huesca;22001 Abiego;Hombres;2002;144
22;Huesca;22001 Abiego;Hombres;2001;149
22;Huesca;22001 Abiego;Hombres;2000;145
22;Huesca;22001 Abiego;Hombres;1999;147
22;Huesca;22001 Abiego;Hombres;1998;147
22;Huesca;22001 Abiego;Hombres;1997;
22;Huesca;22001 Abiego;Hombres;1996;149
22;Huesca;22001 Abiego;Mujeres;2023;127
22;Huesca;22001 Abiego;Mujeres;2022;139
22;Huesca;22001 Abiego;Mujeres;2021;133
22;Huesca;22001 Abiego;Mujeres;2020;123
22;Huesca;22001 Abiego;Mujeres;2019;118
22;Huesca;22001 Abiego;Mujeres;2018;113
22;Huesca;22001 Abiego;Mujeres;2017;119
22;Huesca;22001 Abiego;Mujeres;2016;115
22;Huesca;22001 Abiego;Mujeres;2015;117
22;Huesca;22001 Abiego;Mujeres;2014;128
22;Huesca;22001 Abiego;Mujeres;2013;135
22;Huesca;22001 Abiego;Mujeres;2012;131
22;Huesca;22001 Abiego;Mujeres;2011;132
22;Huesca;22001 Abiego;Mujeres;2010;133
22;Huesca;22001 Abiego;Mujeres;2009;133
22;Huesca;22001 Abiego;Mujeres;2008;131
22;Huesca;22001 Abiego;Mujeres;2007;133
22;Huesca;22001 Abiego;Mujeres;2006;133
22;Huesca;22001 Abiego;Mujeres;2005;127
22;Huesca;22001 Abiego;Mujeres;2004;139
22;Huesca;22001 Abiego;Mujeres;2003;141
22;Huesca;22001 Abiego;Mujeres;2002;147
22;Huesca;22001 Abiego;Mujeres;2001;149
22;Huesca;22001 Abiego;Mujeres;2000;147
22;Huesca;22001 Abiego;Mujeres;1999;143
22;Huesca;22001 Abiego;Mujeres;1998;143
22;Huesca;22001 Abiego;Mujeres;1997;
22;Huesca;22001 Abiego;Mujeres;1996;156
22;Huesca;22002 Abizanda;Total;2023;162
22;Huesca;22002 Abizanda;Total;2022;151
22;Huesca;22002 Abizanda;Total;2021;143
22;Huesca;22002 Abizanda;Total;2020;139
22;Huesca;22002 Abizanda;Total;2019;150
22;Huesca;22002 Abizanda;Total;2018;151
22;Huesca;22002 Abizanda;Total;2017;156
22;Huesca;22002 Abizanda;Total;2016;142
22;Huesca;22002 Abizanda;Total;2015;142
22;Huesca;22002 Abizanda;Total;2014;140
22;Huesca;22002 Abizanda;Total;2013;143
22;Huesca;22002 Abizanda;Total;2012;136
22;Huesca;22002 Abizanda;Total;2011;139
22;Huesca;22002 Abizanda;Total;2010;132
22;Huesca;22002 Abizanda;Total;2009;126
22;Huesca;22002 Abizanda;Total;2008;130
22;Huesca;22002 Abizanda;Total;2007;133
