codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
27;Lugo;27001 Abadín;Total;2023;2203
27;Lugo;27001 Abadín;Total;2022;2259
27;Lugo;27001 Abadín;Total;2021;2297
27;Lugo;27001 Abadín;Total;2020;2322
27;Lugo;27001 Abadín;Total;2019;2367
27;Lugo;27001 Abadín;Total;2018;2428
27;Lugo;27001 Abadín;Total;2017;2490
27;Lugo;27001 Abadín;Total;2016;2559
27;Lugo;27001 Abadín;Total;2015;2612
27;Lugo;27001 Abadín;Total;2014;2646
27;Lugo;27001 Abadín;Total;2013;2721
27;Lugo;27001 Abadín;Total;2012;2760
27;Lugo;27001 Abadín;Total;2011;2811
27;Lugo;27001 Abadín;Total;2010;2858
27;Lugo;27001 Abadín;Total;2009;2896
27;Lugo;27001 Abadín;Total;2008;2988
27;Lugo;27001 Abadín;Total;2007;3065
27;Lugo;27001 Abadín;Total;2006;3141
27;Lugo;27001 Abadín;Total;2005;3201
27;Lugo;27001 Abadín;Total;2004;3256
27;Lugo;27001 Abadín;Total;2003;3326
27;Lugo;27001 Abadín;Total;2002;3342
27;Lugo;27001 Abadín;Total;2001;3432
27;Lugo;27001 Abadín;Total;2000;3516
27;Lugo;27001 Abadín;Total;1999;3531
27;Lugo;27001 Abadín;Total;1998;3582
27;Lugo;27001 Abadín;Total;1997;
27;Lugo;27001 Abadín;Total;1996;3647
27;Lugo;27001 Abadín;Hombres;2023;1078
27;Lugo;27001 Abadín;Hombres;2022;1112
27;Lugo;27001 Abadín;Hombres;2021;1144
27;Lugo;27001 Abadín;Hombres;2020;1144
27;Lugo;27001 Abadín;Hombres;2019;1157
27;Lugo;27001 Abadín;Hombres;2018;1195
27;Lugo;27001 Abadín;Hombres;2017;1231
27;Lugo;27001 Abadín;Hombres;2016;1260
27;Lugo;27001 Abadín;Hombres;2015;1280
27;Lugo;27001 Abadín;Hombres;2014;1296
27;Lugo;27001 Abadín;Hombres;2013;1340
27;Lugo;27001 Abadín;Hombres;2012;1359
27;Lugo;27001 Abadín;Hombres;2011;1375
27;Lugo;27001 Abadín;Hombres;2010;1391
27;Lugo;27001 Abadín;Hombres;2009;1405
27;Lugo;27001 Abadín;Hombres;2008;1444
27;Lugo;27001 Abadín;Hombres;2007;1485
27;Lugo;27001 Abadín;Hombres;2006;1511
27;Lugo;27001 Abadín;Hombres;2005;1538
27;Lugo;27001 Abadín;Hombres;2004;1565
27;Lugo;27001 Abadín;Hombres;2003;1594
27;Lugo;27001 Abadín;Hombres;2002;1596
27;Lugo;27001 Abadín;Hombres;2001;1639
27;Lugo;27001 Abadín;Hombres;2000;1668
27;Lugo;27001 Abadín;Hombres;1999;1663
27;Lugo;27001 Abadín;Hombres;1998;1686
27;Lugo;27001 Abadín;Hombres;1997;
27;Lugo;27001 Abadín;Hombres;1996;1718
27;Lugo;27001 Abadín;Mujeres;2023;1125
27;Lugo;27001 Abadín;Mujeres;2022;1147
27;Lugo;27001 Abadín;Mujeres;2021;1153
27;Lugo;27001 Abadín;Mujeres;2020;1178
27;Lugo;27001 Abadín;Mujeres;2019;1210
27;Lugo;27001 Abadín;Mujeres;2018;1233
27;Lugo;27001 Abadín;Mujeres;2017;1259
27;Lugo;27001 Abadín;Mujeres;2016;1299
27;Lugo;27001 Abadín;Mujeres;2015;1332
27;Lugo;27001 Abadín;Mujeres;2014;1350
27;Lugo;27001 Abadín;Mujeres;2013;1381
27;Lugo;27001 Abadín;Mujeres;2012;1401
27;Lugo;27001 Abadín;Mujeres;2011;1436
27;Lugo;27001 Abadín;Mujeres;2010;1467
27;Lugo;27001 Abadín;Mujeres;2009;1491
27;Lugo;27001 Abadín;Mujeres;2008;1544
27;Lugo;27001 Abadín;Mujeres;2007;1580
27;Lugo;27001 Abadín;Mujeres;2006;1630
27;Lugo;27001 Abadín;Mujeres;2005;1663
27;Lugo;27001 Abadín;Mujeres;2004;1691
27;Lugo;27001 Abadín;Mujeres;2003;1732
27;Lugo;27001 Abadín;Mujeres;2002;1746
27;Lugo;27001 Abadín;Mujeres;2001;1793
27;Lugo;27001 Abadín;Mujeres;2000;1848
27;Lugo;27001 Abadín;Mujeres;1999;1868
27;Lugo;27001 Abadín;Mujeres;1998;1896
27;Lugo;27001 Abadín;Mujeres;1997;
27;Lugo;27001 Abadín;Mujeres;1996;1929
27;Lugo;27002 Alfoz;Total;2023;1553
27;Lugo;27002 Alfoz;Total;2022;1585
27;Lugo;27002 Alfoz;Total;2021;1610
27;Lugo;27002 Alfoz;Total;2020;1659
27;Lugo;27002 Alfoz;Total;2019;1688
27;Lugo;27002 Alfoz;Total;2018;1757
27;Lugo;27002 Alfoz;Total;2017;1782
27;Lugo;27002 Alfoz;Total;2016;1818
27;Lugo;27002 Alfoz;Total;2015;1846
27;Lugo;27002 Alfoz;Total;2014;1903
27;Lugo;27002 Alfoz;Total;2013;1946
27;Lugo;27002 Alfoz;Total;2012;2009
27;Lugo;27002 Alfoz;Total;2011;2059
27;Lugo;27002 Alfoz;Total;2010;2078
27;Lugo;27002 Alfoz;Total;2009;2107
27;Lugo;27002 Alfoz;Total;2008;2133
27;Lugo;27002 Alfoz;Total;2007;2159
27;Lugo;27002 Alfoz;Total;2006;2216
27;Lugo;27002 Alfoz;Total;2005;2266
27;Lugo;27002 Alfoz;Total;2004;2312
27;Lugo;27002 Alfoz;Total;2003;2348
27;Lugo;27002 Alfoz;Total;2002;2398
27;Lugo;27002 Alfoz;Total;2001;2421
27;Lugo;27002 Alfoz;Total;2000;2462
27;Lugo;27002 Alfoz;Total;1999;2485
27;Lugo;27002 Alfoz;Total;1998;2506
27;Lugo;27002 Alfoz;Total;1997;
27;Lugo;27002 Alfoz;Total;1996;2553
27;Lugo;27002 Alfoz;Hombres;2023;745
27;Lugo;27002 Alfoz;Hombres;2022;765
27;Lugo;27002 Alfoz;Hombres;2021;781
27;Lugo;27002 Alfoz;Hombres;2020;803
27;Lugo;27002 Alfoz;Hombres;2019;812
27;Lugo;27002 Alfoz;Hombres;2018;847
27;Lugo;27002 Alfoz;Hombres;2017;856
27;Lugo;27002 Alfoz;Hombres;2016;873
27;Lugo;27002 Alfoz;Hombres;2015;894
27;Lugo;27002 Alfoz;Hombres;2014;923
27;Lugo;27002 Alfoz;Hombres;2013;948
27;Lugo;27002 Alfoz;Hombres;2012;984
27;Lugo;27002 Alfoz;Hombres;2011;1002
27;Lugo;27002 Alfoz;Hombres;2010;1012
27;Lugo;27002 Alfoz;Hombres;2009;1021
27;Lugo;27002 Alfoz;Hombres;2008;1038
27;Lugo;27002 Alfoz;Hombres;2007;1042
27;Lugo;27002 Alfoz;Hombres;2006;1070
27;Lugo;27002 Alfoz;Hombres;2005;1101
27;Lugo;27002 Alfoz;Hombres;2004;1122
27;Lugo;27002 Alfoz;Hombres;2003;1127
27;Lugo;27002 Alfoz;Hombres;2002;1159
27;Lugo;27002 Alfoz;Hombres;2001;1174
27;Lugo;27002 Alfoz;Hombres;2000;1191
27;Lugo;27002 Alfoz;Hombres;1999;1198
27;Lugo;27002 Alfoz;Hombres;1998;1210
27;Lugo;27002 Alfoz;Hombres;1997;
27;Lugo;27002 Alfoz;Hombres;1996;1241
27;Lugo;27002 Alfoz;Mujeres;2023;808
27;Lugo;27002 Alfoz;Mujeres;2022;820
27;Lugo;27002 Alfoz;Mujeres;2021;829
27;Lugo;27002 Alfoz;Mujeres;2020;856
27;Lugo;27002 Alfoz;Mujeres;2019;876
27;Lugo;27002 Alfoz;Mujeres;2018;910
27;Lugo;27002 Alfoz;Mujeres;2017;926
27;Lugo;27002 Alfoz;Mujeres;2016;945
27;Lugo;27002 Alfoz;Mujeres;2015;952
27;Lugo;27002 Alfoz;Mujeres;2014;980
27;Lugo;27002 Alfoz;Mujeres;2013;998
27;Lugo;27002 Alfoz;Mujeres;2012;1025
27;Lugo;27002 Alfoz;Mujeres;2011;1057
27;Lugo;27002 Alfoz;Mujeres;2010;1066
27;Lugo;27002 Alfoz;Mujeres;2009;1086
27;Lugo;27002 Alfoz;Mujeres;2008;1095
27;Lugo;27002 Alfoz;Mujeres;2007;1117
27;Lugo;27002 Alfoz;Mujeres;2006;1146
27;Lugo;27002 Alfoz;Mujeres;2005;1165
27;Lugo;27002 Alfoz;Mujeres;2004;1190
27;Lugo;27002 Alfoz;Mujeres;2003;1221
27;Lugo;27002 Alfoz;Mujeres;2002;1239
27;Lugo;27002 Alfoz;Mujeres;2001;1247
27;Lugo;27002 Alfoz;Mujeres;2000;1271
27;Lugo;27002 Alfoz;Mujeres;1999;1287
27;Lugo;27002 Alfoz;Mujeres;1998;1296
27;Lugo;27002 Alfoz;Mujeres;1997;
27;Lugo;27002 Alfoz;Mujeres;1996;1312
27;Lugo;27003 Antas de Ulla;Total;2023;1887
27;Lugo;27003 Antas de Ulla;Total;2022;1918
27;Lugo;27003 Antas de Ulla;Total;2021;1935
27;Lugo;27003 Antas de Ulla;Total;2020;1940
27;Lugo;27003 Antas de Ulla;Total;2019;1976
27;Lugo;27003 Antas de Ulla;Total;2018;2008
27;Lugo;27003 Antas de Ulla;Total;2017;2059
